"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1988,-1.4,-13.5,-10,-6.9,-4,-5,-8.9,-9,-8.2,-5.5,-1.3,-7.3,0.4,0,-8.3,-5.5,-3.8,-4.3,-6.6,0.4
1989,-2,-17.2,-9.5,-6.7,-3.7,-1.6,-7.3,-8.4,-7.6,-9.2,0.6,-4.4,0.6,-1.9,-8.2,-4,-4.8,-4.1,-7.1,0.6
1990,-2.9,-18.9,-8.4,-6.7,-5,-2.9,-7.1,-6.8,-9.1,-8.4,-1.1,-4.1,-0.1,-2.8,-7.8,-6.7,-2.8,-5.7,-5.4,-0.1
1991,-1.5,-21.1,-8.3,-7.6,-5.7,-2.7,-7.5,-8.7,-9.1,-5.3,-2.6,-5.4,0.6,0,-3.4,-5.2,-3.3,-3.9,-4.6,0.6
1992,-3,-19,-9.8,-6.6,-2.4,-3.3,-10.9,-6,-6.9,-6.6,-0.4,-4.7,-0.2,-0.5,-8.6,-5.5,-3.9,-4,-4.7,-0.2
1993,-1.8,-17.4,-9.1,-7.5,-4.6,-2.9,-11.1,-7.1,-6.4,-9.2,-2.8,-5.6,-1.7,-2,-6.9,-7.3,-6.1,-5,-6.5,-1.7
1994,-1.8,-17,-6.2,-7.8,-4.4,-1.9,-8.4,-8.8,-6.2,-7.5,-1.7,-6.3,-1.3,-3.5,-6.5,-4.9,-4.2,-5.7,-6.3,-1.3
1995,-3.2,-20.2,-7.7,-4.7,-2.8,-2.9,-13.4,-7.4,-8.8,-8.3,0.4,-4.8,-0.1,-0.4,-4.8,-5.2,-4.1,-5.8,-7,0.4
1996,-2.5,-9.2,-8.7,-6.6,-3.6,-3.5,-8.5,-8.5,-8.5,-7.8,-2.6,-3.5,0.4,0.2,-7.4,-3.7,-3.7,-4.2,-5.1,0.4
1997,-2.9,-19.8,-8.7,-7,-4.2,-4.6,-10.1,-9.2,-7.1,-6,-1.8,-5.8,0.7,-0.6,-5.3,-4.7,-5.3,-4.5,-5.7,0.7
1998,-3.4,-17.2,-9.4,-7.5,-5.4,-4.1,-7.4,-7.2,-8.3,-5.7,-2.3,-6.2,0,-1,-4.6,-4.2,-4.4,-3.9,-4.8,0
1999,-3,-18.2,-5.2,-6.1,-3.9,-2.9,-10,-5.7,-6.4,-10.1,-1.5,-4.6,-0.3,-1.4,-6.8,-5.9,-5.4,-1.6,-6.3,-0.3
2000,-2.5,-11.6,-5.8,-6.2,-5.3,-2.2,-8.7,-9.6,-8,-4.9,-0.4,-4.6,0,-1.4,-5.7,-5,-3.9,-4.1,-4.8,0
2001,-2.8,-21.9,-7,-5.6,-4.1,-3.1,-7.3,-8,-7.3,-3.8,0,-2.6,-0.4,-1.4,-4.4,-3.9,-4.6,-4.1,-5.4,0
2002,-0.2,-17.4,-10.9,-6.9,-4.1,-3.2,-6.1,-6.8,-9,-6.9,-0.7,-5.5,0.6,0.1,-5.4,-4.7,-4.1,-5.7,-5,0.6
2003,-2,-19.7,-8.4,-7.1,-3.9,-3.6,-7.7,-7.5,-8.2,-4.7,-1.2,-5.5,0.6,-1.2,-5.7,-2.5,-4.5,-5.3,-5,0.6
2004,-2.6,-15.5,-9.1,-8.1,-5.1,-3.3,-7.9,-5.2,-8.2,-5.7,0.6,-2.1,1.2,-0.5,-4.6,-4.2,-3.4,-2.7,-5.2,1.2
2005,-1.6,-15.2,-5.7,-7.5,-6,-3.5,-7,-7.6,-7.9,-6.7,-0.6,-3.7,0.6,0,-6.9,-4.1,-3.1,-3.4,-4.5,0.6
2006,-3.3,-20.3,-4.8,-3.1,-6,-1.9,-9.8,-7.5,-7.9,-5.3,-1.6,-5.7,-3.3,-1.4,-4.9,-1.5,-4.4,-3.6,-6.1,-1.4
2007,-2.4,-18.7,-4.5,-5.4,-2.2,-3.4,-9.7,-7.2,-8.3,-4.7,-0.7,-5.6,1.8,-0.9,-6.1,-5,-3.3,-2,-4.2,1.8
2008,-1.9,-21.4,-8,-6,-2.8,-3.2,-9.8,-8.8,-8.7,-4.7,-1.7,-6.2,1.4,-1,-7.7,-3.8,-5,-4.3,-5.9,1.4
2009,-3.3,-12.2,-10.7,-6,-3.3,-3.2,-9.4,-9.5,-9,-6.2,-1.1,-3.6,-0.8,-0.3,-5.7,-3.9,-4.6,-2.2,-6.7,-0.3
2010,-2.2,-16.9,-5.1,-7.1,-2.9,-3.7,-6.3,-11.8,-6.3,-6.2,-2.3,-5.4,-0.1,0.5,-5.4,-4.7,-3.2,-2.7,-5.7,0.5
2011,-2.9,-19.6,-7.7,-6.4,-2.6,-1.9,-6.8,-6.3,-5.2,-1.8,-0.2,-4.4,-0.7,-1,-6.9,-5,-5.2,-3.7,-4.6,-0.2
2012,-0.6,-20.6,-6.2,-5.7,-3.8,-2.5,-9,-9.4,-9.2,0.2,-0.6,-8.6,-0.6,-2.4,-3.8,-5.3,-3.9,-1.9,-3.4,0.2
2013,-1.6,-18.3,-4.3,-7.2,-3.2,-2.8,-10.6,-4.1,-5.5,-4.6,-0.8,-3.7,1.6,0.9,-5.9,-4.3,-3.5,-6.1,-6,1.6
2014,-2.3,-18,-5.9,-4.9,-3.6,-2.7,-6.7,-7.6,-8.5,-4.3,-0.8,-5.2,2.7,-0.2,-5.7,-3.8,-3.9,-2.5,-0.8,2.7
